0	0	-nan	-44.0186	-nan	0	22.2927
0.01	0.00345494	-21.7259	-44.0186	0	0	22.2927
0.02	0.00690971	-21.726	-44.0186	0	0	22.2926
0.03	0.0103642	-21.7261	-44.0186	0	0	22.2925
0.04	0.0138182	-21.7263	-44.0186	0	0	22.2923
0.05	0.0172715	-21.7265	-44.0186	0	0	22.2921
0.06	0.0207241	-21.7267	-44.0186	0	0	22.2919
0.07	0.0241757	-21.727	-44.0186	0	0	22.2915
0.08	0.0276262	-21.7274	-44.0186	0	0	22.2912
0.09	0.0310754	-21.7278	-44.0186	0	0	22.2908
0.1	0.0345232	-21.7283	-44.0186	0	0	22.2903
0.11	0.0379694	-21.7288	-44.0185	0	0	22.2898
0.12	0.0414139	-21.7293	-44.0185	0	0	22.2892
0.13	0.0448564	-21.7299	-44.0185	0	0	22.2886
0.14	0.0482969	-21.7306	-44.0185	0	0	22.288
0.15	0.0517352	-21.7313	-44.0185	0	0	22.2872
0.16	0.0551711	-21.732	-44.0185	0	0	22.2865
0.17	0.0586045	-21.7328	-44.0185	0	0	22.2857
0.18	0.0620351	-21.7336	-44.0185	0	0	22.2848
0.19	0.065463	-21.7345	-44.0185	0	0	22.2839
0.2	0.0688878	-21.7355	-44.0184	0	0	22.283
0.21	0.0723094	-21.7365	-44.0184	0	0	22.282
0.22	0.0757277	-21.7375	-44.0184	0	0	22.2809
0.23	0.0791426	-21.7386	-44.0184	0	0	22.2798
0.24	0.0825537	-21.7397	-44.0184	0	0	22.2787
0.25	0.0859611	-21.7409	-44.0184	0	0	22.2775
0.26	0.0893646	-21.7421	-44.0184	0	0	22.2762
0.27	0.0927639	-21.7434	-44.0184	0	0	22.2749
0.28	0.096159	-21.7447	-44.0183	0	0	22.2736
0.29	0.0995496	-21.7461	-44.0183	0	0	22.2722
0.3	0.102936	-21.7475	-44.0183	0	0	22.2708
0.31	0.106317	-21.749	-44.0183	0	0	22.2693
0.32	0.109693	-21.7505	-44.0183	0	0	22.2677
0.33	0.113065	-21.7521	-44.0183	0	0	22.2662
0.34	0.116431	-21.7537	-44.0183	0	0	22.2645
0.35	0.119792	-21.7554	-44.0182	0	0	22.2628
0.36	0.123147	-21.7571	-44.0182	0	0	22.2611
0.37	0.126497	-21.7589	-44.0182	0	0	22.2593
0.38	0.12984	-21.7607	-44.0182	0	0	22.2575
0.39	0.133178	-21.7626	-44.0182	0	0	22.2556
0.4	0.13651	-21.7645	-44.0182	0	0	22.2537
0.41	0.139835	-21.7664	-44.0182	0	0	22.2517
0.42	0.143154	-21.7685	-44.0181	0	0	22.2497
0.43	0.146466	-21.7705	-44.0181	0	0	22.2476
0.44	0.149772	-21.7726	-44.0181	0	0	22.2455
0.45	0.15307	-21.7748	-44.0181	0	0	22.2433
0.46	0.156362	-21.777	-44.0181	0	0	22.2411
0.47	0.159646	-21.7792	-44.0181	0	0	22.2388
0.48	0.162923	-21.7815	-44.018	0	0	22.2365
0.49	0.166193	-21.7839	-44.018	0	0	22.2341
0.5	0.169454	-21.7863	-44.018	0	0	22.2317
0.51	0.172708	-21.7887	-44.018	0	0	22.2293
0.52	0.175954	-21.7912	-44.018	0	0	22.2267
0.53	0.179192	-21.7938	-44.0179	0	0	22.2242
0.54	0.182421	-21.7964	-44.0179	0	0	22.2216
0.55	0.185642	-21.799	-44.0179	0	0	22.2189
0.56	0.188855	-21.8017	-44.0179	0	0	22.2162
0.57	0.192059	-21.8044	-44.0179	0	0	22.2134
0.58	0.195253	-21.8072	-44.0178	0	0	22.2106
0.59	0.198439	-21.8101	-44.0178	0	0	22.2078
0.6	0.201616	-21.8129	-44.0178	0	0	22.2049
0.61	0.204783	-21.8159	-44.0178	0	0	22.2019
0.62	0.207941	-21.8188	-44.0178	0	0	22.1989
0.63	0.211089	-21.8219	-44.0177	0	0	22.1959
0.64	0.214227	-21.825	-44.0177	0	0	22.1928
0.65	0.217355	-21.8281	-44.0177	0	0	22.1896
0.66	0.220474	-21.8313	-44.0177	0	0	22.1864
0.67	0.223582	-21.8345	-44.0176	0	0	22.1832
0.68	0.226679	-21.8378	-44.0176	0	0	22.1799
0.69	0.229766	-21.8411	-44.0176	0	0	22.1765
0.7	0.232843	-21.8444	-44.0176	0	0	22.1731
0.71	0.235908	-21.8479	-44.0175	0	0	22.1697
0.72	0.238963	-21.8513	-44.0175	0	0	22.1662
0.73	0.242006	-21.8548	-44.0175	0	0	22.1627
0.74	0.245039	-21.8584	-44.0175	0	0	22.1591
0.75	0.248059	-21.862	-44.0174	0	0	22.1554
0.76	0.251069	-21.8657	-44.0174	0	0	22.1518
0.77	0.254066	-21.8694	-44.0174	0	0	22.148
0.78	0.257052	-21.8731	-44.0174	0	0	22.1442
0.79	0.260026	-21.8769	-44.0173	0	0	22.1404
0.8	0.262987	-21.8808	-44.0173	0	0	22.1365
0.81	0.265936	-21.8847	-44.0173	0	0	22.1326
0.82	0.268873	-21.8886	-44.0172	0	0	22.1286
0.83	0.271798	-21.8926	-44.0172	0	0	22.1246
0.84	0.274709	-21.8967	-44.0172	0	0	22.1205
0.85	0.277608	-21.9008	-44.0172	0	0	22.1164
0.86	0.280494	-21.9049	-44.0171	0	0	22.1122
0.87	0.283366	-21.9091	-44.0171	0	0	22.108
0.88	0.286226	-21.9133	-44.0171	0	0	22.1037
0.89	0.289072	-21.9176	-44.017	0	0	22.0994
0.9	0.291904	-21.922	-44.017	0	0	22.095
0.91	0.294723	-21.9264	-44.017	0	0	22.0906
0.92	0.297528	-21.9308	-44.0169	0	0	22.0861
0.93	0.300319	-21.9353	-44.0169	0	0	22.0816
0.94	0.303096	-21.9398	-44.0169	0	0	22.0771
0.95	0.305858	-21.9444	-44.0168	0	0	22.0724
0.96	0.308606	-21.949	-44.0168	0	0	22.0678
0.97	0.31134	-21.9537	-44.0167	0	0	22.0631
0.98	0.314059	-21.9584	-44.0167	0	0	22.0583
0.99	0.316764	-21.9632	-44.0167	0	0	22.0535
1	0.319453	-21.968	-44.0166	0	0	22.0486
1.01	0.322127	-21.9729	-44.0166	0	0	22.0437
1.02	0.324786	-21.9778	-44.0166	0	0	22.0388
1.03	0.32743	-21.9827	-44.0165	0	0	22.0338
1.04	0.330059	-21.9877	-44.0165	0	0	22.0287
1.05	0.332672	-21.9928	-44.0164	0	0	22.0236
1.06	0.335269	-21.9979	-44.0164	0	0	22.0185
1.07	0.33785	-22.0031	-44.0163	0	0	22.0133
1.08	0.340415	-22.0083	-44.0163	0	0	22.008
1.09	0.342964	-22.0135	-44.0163	0	0	22.0027
1.1	0.345497	-22.0188	-44.0162	0	0	21.9974
1.11	0.348014	-22.0242	-44.0162	0	0	21.992
1.12	0.350514	-22.0296	-44.0161	0	0	21.9865
1.13	0.352998	-22.035	-44.0161	0	0	21.9811
1.14	0.355464	-22.0405	-44.016	0	0	21.9755
1.15	0.357914	-22.0461	-44.016	0	0	21.9699
1.16	0.360347	-22.0516	-44.0159	0	0	21.9643
1.17	0.362763	-22.0573	-44.0159	0	0	21.9586
1.18	0.365162	-22.063	-44.0158	0	0	21.9529
1.19	0.367543	-22.0687	-44.0158	0	0	21.9471
1.2	0.369906	-22.0745	-44.0157	0	0	21.9412
1.21	0.372252	-22.0803	-44.0157	0	0	21.9354
1.22	0.374581	-22.0862	-44.0156	0	0	21.9294
1.23	0.376891	-22.0921	-44.0156	0	0	21.9234
1.24	0.379184	-22.0981	-44.0155	0	0	21.9174
1.25	0.381458	-22.1041	-44.0155	0	0	21.9113
1.26	0.383714	-22.1102	-44.0154	0	0	21.9052
1.27	0.385952	-22.1163	-44.0153	0	0	21.899
1.28	0.388172	-22.1225	-44.0153	0	0	21.8928
1.29	0.390372	-22.1287	-44.0152	0	0	21.8865
1.3	0.392554	-22.135	-44.0152	0	0	21.8802
1.31	0.394718	-22.1413	-44.0151	0	0	21.8738
1.32	0.396862	-22.1476	-44.015	0	0	21.8674
1.33	0.398987	-22.154	-44.015	0	0	21.861
1.34	0.401094	-22.1605	-44.0149	0	0	21.8544
1.35	0.403181	-22.167	-44.0149	0	0	21.8479
1.36	0.405248	-22.1735	-44.0148	0	0	21.8413
1.37	0.407296	-22.1801	-44.0147	0	0	21.8346
1.38	0.409325	-22.1868	-44.0147	0	0	21.8279
1.39	0.411333	-22.1935	-44.0146	0	0	21.8211
1.4	0.413322	-22.2002	-44.0145	0	0	21.8143
1.41	0.415291	-22.207	-44.0144	0	0	21.8075
1.42	0.41724	-22.2138	-44.0144	0	0	21.8005
1.43	0.419169	-22.2207	-44.0143	0	0	21.7936
1.44	0.421078	-22.2276	-44.0142	0	0	21.7866
1.45	0.422966	-22.2346	-44.0141	0	0	21.7795
